候補No.,化合物A修飾率(%),化合物B修飾率(%),化合物C修飾率(%),化合物D修飾率(%),化合物E修飾率(%),化合物F修飾率(%),組み合わせ,獲得スコア
1,0,61,0,39,0,0,B:61% + D:39%,0.0002
2,0,0,0,61,39,0,D:61% + E:39%,0.0002
3,51,49,0,0,0,0,A:51% + B:49%,0.0002
4,0,0,0,59,41,0,D:59% + E:41%,0.0002
5,0,0,0,0,44,56,E:44% + F:56%,0.0002
